"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000007639","763036266146","","EC1191BK","1191 BLACK O/S","ESCANTE FUSION METALLIC BOY SHORTS - BLACK - OS","0","1","$17.99","$0.00","$17.99","$17.99","$6.95","$11.04","61.37%"
"210000003794","716770057778","","SE-0499-20-3","SE-0499-20-3","7 FUNCT CLASSIC CHIC 4.25 IN BLACK","0","1","$26.99","$0.00","$26.99","$28.88","$5.75","$21.24","78.69%"
"210000005210","716770054203","","SE-1099-61-3","SE-1099-61-3","STERLING COLLECTION SLEEVE SET 2 TWO SLEEVES - CLEAR","0","1","$9.99","$0.00","$9.99","$10.69","$3.35","$6.64","66.47%"
"210000029443","889166000013","","SI-VB-1021","D0019","HEATWAVE WAND ATTACHMENTS","0","5","$49.95","$0.00","$49.95","$53.55","$70.95","$-21.00","-42.04%"
"210000028479","","","PROMO-CUSTOMER","","PROMO: CUSTOMER APPRECIATION COUPON","0","1","$-10.00","$0.00","$-10.00","$-10.00","$0.00","$-10.00","-100%"
"210000036221","723466525831","","GW-X1917 BLACK LIPSTICK","X1917 BLACK LIPSTICK","3PC CUT OUT CORSET-TEDDY WITH OPEN CUPS & STOCKINGS - BLACK","0","1","$34.99","$0.00","$34.99","$37.79","$16.95","$18.04","51.56%"
"210000036139","013189249719","","GW-D1415 PINK","D1415 PINK","3PC SEXY DARLING BABYDOLL & STOCKINGS PINK O/S","0","1","$29.99","$0.00","$29.99","$32.09","$15.50","$14.49","48.32%"
"210000009911","849663049786","","ES7751BK-X","7751 BLACK XL","COVER UP AND BEACH DRESS - BLACK - EXTRA LARGE","0","2","$49.98","$0.00","$49.98","$49.98","$39.90","$10.08","20.17%"
"210000025784","716222337113","","WET-33711","33711","WET UNICORN SPIT - DONUT - 4.6 OZ","0","3","$59.97","$0.00","$59.97","$59.97","$12.87","$47.10","78.54%"
"210000035702","648658145737","","UNS-6160","6160","ULTIMATE GOLD MOUTHWASH","0","1","$19.99","$0.00","$19.99","$21.39","$7.15","$12.84","64.21%"
"210000003052","603912332506","","PD4655-23","PD4655-23","AFC POWER BEADS","0","5","$114.95","$0.00","$114.95","$120.47","$36.00","$78.95","68.68%"
"210000003059","603912332575","","PD4662-23","PD4662-23","AFC DOUBLE TROUBLE","0","1","$29.99","$0.00","$29.99","$29.99","$7.20","$22.79","75.99%"
"210000000954","782421010485","","DJ-1396-01-BU","1396-01-BU","UR3 REFRESH POWDER","0","1","$9.99","$0.00","$9.99","$10.79","$1.38","$8.61","86.19%"
"210000001190","844477010229","","EN-RS-0229-2","EN-RS-0229-2","EVOLVED WINGS OF DESIRE PINK SILICONE RECHARGEABLE","0","2","$99.98","$0.00","$99.98","$106.98","$82.29","$17.69","17.69%"
"210000000750","782421057077","","DJ-0690-17-BX","0690-17-BX","OPTIMALE C RING - SLATE - 55 MM","0","2","$39.98","$0.00","$39.98","$42.98","$11.00","$28.98","72.49%"
"210000033986","889166801450","","SI-ML-8084","pp_101","TRIGGER MAN GAUGED PENIS PUMP","0","4","$199.96","$0.00","$199.96","$214.46","$134.61","$65.35","32.68%"
"210000003039","603912332384","","PD4642-23","PD4642-23","AFC DELUXE VIBRO BALLS","0","1","$24.99","$0.00","$24.99","$26.99","$6.60","$18.39","73.59%"
"210000034739","817483011757","","SCO-VBUL-GP-110","VBUL-GP-110","SCREAMING O VOOOM BULLET - GRAPE","0","1","$14.99","$0.00","$14.99","$16.04","$4.95","$10.04","66.98%"
"210000033890","889166801870","","SI-VB-1045","AL-SV50","CLIMAX CUTIE MINI MASSAGER - ORANGE","0","3","$104.97","$0.00","$104.97","$112.49","$22.36","$82.61","78.7%"
"210000004948","603912356861","","PD3856-23","54687","FF FISHNET HOOD","0","1","$19.99","$0.00","$19.99","$19.99","$7.50","$12.49","62.48%"
"210000003014","603912332131","","PD4617-23","PD4617-23","AFC CLASSIX PROSTATE STIMULATOR","0","1","$19.99","$0.00","$19.99","$21.59","$4.89","$15.10","75.54%"
"210000017869","782421954413","","DJ-1360-20-BX","1360-20-BX","GOODHEAD KIT FOR HIM MINT","0","2","$49.98","$0.00","$49.98","$51.48","$13.50","$36.48","73%"
"210000009061","843993092313","","ES4183BK-M","4183BK-M","SEXY RACER BACK CRISS CROSS DRESS BLACK MEDIUM","0","2","$77.98","$0.00","$77.98","$77.98","$33.90","$44.08","56.53%"
"210000003060","603912332582","","PD4663-23","PD4663-23","AFC THE PEGGER","0","2","$89.98","$0.00","$89.98","$96.73","$24.00","$65.98","73.33%"
"210000005375","716770061461","","SE-1490-10-2","SE-1490-10-2","CRAZY 8 BLACK","0","1","$12.99","$0.00","$12.99","$13.90","$2.00","$10.99","84.6%"
"210000018001","818631021970","","HP-2197","HP-2197","ORGASMIX ENHANCEMENT GEL - 1 FL OZ","0","1","$16.99","$0.00","$16.99","$18.18","$3.94","$13.05","76.84%"
"210000036195","723466525152","","GW-L1753 CHERRY","L1753 CHERRY","2PC LACE STUDDED BOYSHORT & TOP","0","1","$29.99","$0.00","$29.99","$32.39","$14.95","$15.04","50.15%"
"210000003594","716770065063","","SE-0004-26-2","SE-0004-26-2","FIRST TIME SOFTEE TEASER PURPLE","0","2","$39.98","$0.00","$39.98","$42.98","$8.90","$31.08","77.74%"
"210000033899","889166800583","","SI-ML-8002","WLMC-01","CHAMPION","0","5","$299.95","$0.00","$299.95","$318.25","$164.84","$135.11","45.04%"
"210000034015","889166801740","","SI-DD-1006","GLOWS IN THE DARK DILDOS - S","GLOW IN THE DARK DILDO PURPLE SMALL - 5 IN","0","1","$29.99","$0.00","$29.99","$32.39","$14.93","$15.06","50.22%"
"210000026536","889166537823","","SI-VB-1000","GC0204","RAIN MAKER","0","2","$179.98","$0.00","$179.98","$191.68","$75.11","$104.87","58.27%"
"210000033915","889166800743","","SI-ML-8018","JM-DM1030DS","NINA","0","1","$41.99","$0.00","$41.99","$44.93","$23.33","$18.66","44.44%"
"210000000255","735380125936","","BL-12593","BL-12593","AU NATUREL ROBERTO LATIN","0","1","$34.99","$0.00","$34.99","$37.44","$8.85","$26.14","74.71%"
"210000004827","603912325645","","PD3668-23","PD3668-23","FF EXTREME THE PRISONER","0","1","$52.99","$0.00","$52.99","$56.70","$15.60","$37.39","70.56%"
"210000033723","","","SI-ME-1182-SAMP","NC-008","NIPPLE CLAMPS STAINLESS WITH LOOP HANDLE","0","1","$24.99","$0.00","$24.99","$26.74","$6.95","$18.04","72.19%"
"210000033929","889166800880","","SI-ML-8032","XS-MA70001-E","STAMINA STROKER","0","1","$59.99","$0.00","$59.99","$64.19","$22.38","$37.61","62.69%"
"210000036223","729440958602","","GW-X908 BLACK","X908 BLACK","RATED X 3PC RACY BODYSUIT","0","1","$34.99","$0.00","$34.99","$37.44","$16.50","$18.49","52.84%"
"210000036094","811598344940","","GW-B1303 BLACK / RED","B1303 BLACK / RED","1PC ESSENCE OF GLAMOUR TEDDY - BLK/RED","0","1","$24.99","$0.00","$24.99","$26.74","$13.95","$11.04","44.18%"
"210000036191","719926238571","","GW-L1405 BLOSSOM PINK","L1405 BLOSSOM PINK","4PC KISS OF ROMANCE","0","1","$29.99","$0.00","$29.99","$32.09","$15.95","$14.04","46.82%"
"210000004766","603912329599","","PD2132-23","PD2132-23","FETISH FANTASY BEGINNERS OPEN MOUTH GAG","0","1","$14.99","$0.00","$14.99","$16.04","$3.30","$11.69","77.99%"
"210000034630","797079101904","","BW1891","1891 BLACK O/S","INTOXICATING LOVE BODYSTOCKING BLACK ONE SIZE","0","7","$139.93","$0.00","$139.93","$144.53","$45.42","$94.51","67.54%"
"210000036213","729440958343","","GW-P924 BLACK","P924 BLACK","2PC CHARMING THONG & STOCKINGS","0","4","$79.96","$0.00","$79.96","$81.56","$47.80","$32.16","40.22%"
"210000017237","782631504910","","NT-5049-1","5049-1","EDIBLE UNDIES - CHERRY","0","1","$6.99","$0.00","$6.99","$7.55","$2.00","$4.99","71.39%"
"210000017244","722934000085","","KI-0008","KI-0008","EDIBLE UNDIES FOR MEN - PINK CHAMPAGNE","0","1","$6.99","$0.00","$6.99","$7.55","$2.75","$4.24","60.66%"
"210000005356","716770022783","","SE-1437-00-2","SE-1437-00-2","ISLAND RINGS DBL STACK G-I-D","0","4","$39.96","$0.00","$39.96","$42.06","$6.80","$33.16","82.98%"
"210000003665","716770028822","","SE-0054-40-3","SE-0054-40-3","IMPULSE POCKET PAKS SLIM TWIN BULLETS","0","1","$24.99","$0.00","$24.99","$26.99","$7.00","$17.99","71.98%"
"210000002877","603912345704","","PD4114-21","PD4114-21","FANTASY XTENSIONS MEGA 2 EXTENSION FLESH","0","2","$99.98","$0.00","$99.98","$99.98","$26.40","$73.58","73.59%"
"210000034444","889166800224","","RGO-DD-1001","","7IN SILICONE DILDO W/BALLS FLESH","0","1","$39.99","$0.00","$39.99","$43.19","$23.01","$16.98","42.46%"
"210000035086","889166802662","","SI-ME-1251","CONSTELLATIONS-1","ZODIAC PLUG SMALL - PISCES","0","1","$12.50","$0.00","$12.50","$12.50","$4.50","$8.00","64%"
